nOverlaps	nTotal	cs.nOverlaps	cs.nTotal	PosteriorProb	fraction	enrichment	cs.fraction	Disease
94	780809	60	23561	0	0.000120387956593738	0.0015906636181923	0.00254658121471924	All
94	780809	60	23561	1e-04	0.000120387956593738	0.0015906636181923	0.00254658121471924	All
94	713073	60	23561	0.001	0.000131823810465408	0.00174176342261888	0.00254658121471924	All
94	337200	60	23479	0.01	0.000278766310794781	0.00368328727478385	0.00255547510541335	All
94	198873	60	23049	0.02	0.00047266345858915	0.0062452141268906	0.00260314981127164	All
94	139273	60	22374	0.03	0.000674933404177407	0.00891776919472629	0.0026816840976133	All
94	105519	60	21527	0.04	0.000890834825955515	0.0117704344151965	0.00278719747294096	All
94	84063	60	20710	0.05	0.00111820896232587	0.0147746864739197	0.00289715113471753	All
94	69351	60	19937	0.06	0.00135542385834379	0.0179089626545704	0.00300947986156393	All
94	58746	60	19149	0.07	0.00160010894358765	0.0211419410522779	0.0031333228889237	All
94	50744	60	18410	0.08	0.00185243575595144	0.0244758881652435	0.00325909831613254	All
94	44546	60	17690	0.09	0.0021101782427154	0.0278813915740384	0.00339174674957603	All
94	39498	60	17048	0.1	0.00237986733505494	0.0314447432542689	0.00351947442515251	All
89	35566	56	16413	0.11	0.00250238992296013	0.033063611357872	0.00341192956802535	All
76	32273	52	15895	0.12	0.00235490967681963	0.0311149823705939	0.00327146901541365	All
70	29435	51	15398	0.13	0.00237812128418549	0.0314216730097684	0.00331211845694246	All
70	27047	51	14932	0.14	0.00258808740340888	0.0341959161845133	0.00341548352531476	All
63	25019	47	14458	0.15	0.00251808625444662	0.0332710040584467	0.00325079540738691	All
59	23208	44	14021	0.16	0.0025422268183385	0.0335899688269497	0.00313814991798017	All
57	21667	43	13565	0.17	0.00263072875801911	0.0347593284503915	0.00316992259491338	All
53	20243	40	13134	0.18	0.00261818900360618	0.0345936430139902	0.00304553068372164	All
50	19042	39	12757	0.19	0.00262577460350803	0.0346938701307835	0.00305714509680959	All
49	17937	39	12374	0.2	0.00273178346434744	0.0360945454384664	0.00315176983998707	All
43	16924	36	12020	0.21	0.00254077050342709	0.033570726809627	0.00299500831946755	All
41	16047	34	11697	0.22	0.00255499470305976	0.0337586685065689	0.00290672822091134	All
41	15225	34	11360	0.23	0.00269293924466338	0.0355813040082044	0.00299295774647887	All
37	14502	30	11063	0.24	0.00255137222452076	0.0337108053732231	0.00271174184217662	All
36	13829	29	10763	0.25	0.00260322510665992	0.0343959278343968	0.00269441605500325	All
31	13200	27	10472	0.26	0.00234848484848485	0.031030092312033	0.00257830404889228	All
30	12635	26	10205	0.27	0.00237435694499406	0.031371935498079	0.00254777070063694	All
29	12141	25	9947	0.28	0.00238860060950498	0.031560134380827	0.00251332059917563	All
28	11699	24	9711	0.29	0.00239336695444055	0.0316231112075402	0.00247142415817115	All
27	11236	23	9482	0.3	0.00240299038803845	0.0317502638409047	0.00242564859734233	All
26	10814	22	9261	0.31	0.0024042907342334	0.0317674450726649	0.00237555339596156	All
25	10424	21	9052	0.32	0.0023983115886416	0.0316884437370674	0.00231992929739284	All
25	10054	21	8841	0.33	0.00248657250845435	0.0328546188099453	0.00237529691211401	All
22	9678	19	8616	0.34	0.00227319694151684	0.0300353272384136	0.00220519962859796	All
22	9383	19	8439	0.35	0.00234466588511137	0.0309796330612136	0.00225145159379073	All
22	9067	19	8229	0.36	0.00242638138303739	0.0320593246954194	0.00230890752217766	All
22	8775	19	8040	0.37	0.00250712250712251	0.0331261421097854	0.00236318407960199	All
22	8538	19	7873	0.38	0.00257671585851487	0.034045666082615	0.00241331131715991	All
22	8282	19	7698	0.39	0.00265636319729534	0.035098031515741	0.00246817355157184	All
22	8033	19	7524	0.4	0.00273870285074069	0.0361859700004192	0.00252525252525253	All
19	7797	17	7349	0.41	0.00243683468000513	0.0321974421587206	0.00231323989658457	All
18	7588	17	7206	0.42	0.00237216657880865	0.031342994598173	0.00235914515681377	All
18	7396	17	7082	0.43	0.00243374797187669	0.0321566580598887	0.00240045184975995	All
17	7187	16	6937	0.44	0.00236538193961319	0.0312533504258146	0.00230647253856134	All
15	7006	14	6801	0.45	0.00214102198115901	0.0282889241377554	0.00205852080576386	All
15	6811	14	6661	0.46	0.0022023197768316	0.0290988404799756	0.00210178651854076	All
15	6634	14	6526	0.47	0.00226107928851372	0.0298752189492183	0.00214526509347226	All
15	6481	14	6414	0.48	0.00231445764542509	0.0305804972240571	0.00218272528843156	All
15	6314	14	6283	0.49	0.00237567310738042	0.0313893257062265	0.00222823491962438	All
14	6174	13	6168	0.5	0.00226757369614512	0.029961028346049	0.00210765239948119	All
11	6037	11	6034	0.51	0.00182209706808017	0.0240750287405472	0.00182300298309579	All
11	5910	11	5907	0.52	0.00186125211505922	0.0245923770738889	0.00186219739292365	All
11	5770	11	5767	0.53	0.00190641247833622	0.0251890725314876	0.00190740419628923	All
10	5632	10	5629	0.54	0.00177556818181818	0.0234602512439766	0.001776514478593	All
10	5515	10	5512	0.55	0.00181323662737987	0.023957957390041	0.00181422351233672	All
10	5389	10	5386	0.56	0.00185563184264242	0.0245181174626231	0.00185666542888971	All
10	5280	10	5277	0.57	0.00189393939393939	0.025024267993575	0.00189501610763691	All
10	5172	10	5169	0.58	0.00193348801237432	0.0255468165131624	0.00193461017604953	All
10	5044	10	5041	0.59	0.00198255352894528	0.0261951100329255	0.00198373338623289	All
10	4958	10	4955	0.6	0.00201694231544978	0.0266494826555216	0.00201816347124117	All
10	4876	10	4873	0.61	0.00205086136177194	0.0270976486886948	0.00205212394828648	All
10	4784	10	4781	0.62	0.00209030100334448	0.0276187573173236	0.00209161263334031	All
10	4706	10	4704	0.63	0.00212494687632809	0.0280765267756218	0.00212585034013605	All
10	4634	10	4633	0.64	0.00215796288303841	0.02851276111482	0.00215842866393266	All
8	4555	8	4554	0.65	0.0017563117453348	0.0232058195400353	0.00175669740887132	All
8	4476	8	4475	0.66	0.00178731009830206	0.0236153949966177	0.0017877094972067	All
6	4400	6	4399	0.67	0.00136363636363636	0.018017472955374	0.00136394635144351	All
6	4331	6	4330	0.68	0.00138536134841838	0.0183045211276023	0.00138568129330254	All
6	4270	6	4269	0.69	0.00140515222482436	0.0185660142865681	0.00140548137737175	All
6	4198	6	4197	0.7	0.0014292520247737	0.0188844404487007	0.00142959256611866	All
6	4116	6	4115	0.71	0.00145772594752187	0.0192606610796029	0.00145808019441069	All
6	4046	6	4045	0.72	0.00148294611962432	0.0195938905100459	0.00148331273176761	All
6	3980	6	3979	0.73	0.00150753768844221	0.019918814322524	0.00150791656195024	All
6	3915	6	3914	0.74	0.00153256704980843	0.0202495226062952	0.00153295861011753	All
6	3854	6	3853	0.75	0.00155682407887909	0.0205700262074846	0.00155722813392162	All
5	3791	5	3790	0.76	0.00131891321551042	0.0174265543400259	0.00131926121372032	All
5	3734	5	3733	0.77	0.00133904659882164	0.0176925729788532	0.001339405304045	All
5	3677	5	3676	0.78	0.0013598041881969	0.0179668391359908	0.00136017410228509	All
5	3606	5	3605	0.79	0.00138657792567942	0.0183205955360616	0.0013869625520111	All
5	3557	5	3556	0.8	0.00140567894292943	0.0185729737146579	0.00140607424071991	All
5	3496	5	3495	0.81	0.00143020594965675	0.018897044480274	0.00143061516452074	All
4	3439	4	3438	0.82	0.00116312881651643	0.015368204129814	0.00116346713205352	All
4	3375	4	3374	0.83	0.00118518518518519	0.0156596308155349	0.001185536455246	All
4	3304	4	3303	0.84	0.00121065375302663	0.0159961422525516	0.00121102028458977	All
